Name,Number of Solutions,Score,Time (Seconds)
p06,6,565,0.6129517010000001
p07,3,3771,0.714228045
p08,4,4049,1.122803516
p09,13,3388,5.220493553000001
p10,3,3983,0.244030243
p11,5,3380,1.267909342
p12,9,657,4.904897977
p13,11,3220,9.65629552
p14,7,3157,2.567187407
p15,19,341,23.153254626000003
p16,19,2343,14.067976056000001
p17,12,3281,8.712100745
p18,7,3228,6.688408617
p19,10,3710,7.7131845310000005
p20,15,1830,22.602351363
p21,12,3660,26.537772596
p22,9,1912,6.776583942
p23,15,3770,58.406227434
p24,5,661,5.452359062
p25,14,504,12.778453871
p26,18,520,117.867052486
p27,5,216,2.2531260470000003
p28,24,1729,73.61421092900001
p29,19,3470,203.12293339200002
p30,18,4891,42.211634687
