Name,Number of Solutions,Score,Time (Seconds)
p06,7,565,0.359608292
p07,4,3771,0.439128958
p08,7,4049,1.4474332010000002
p09,6,3388,1.3862678210000001
p10,5,3983,0.19621439200000002
p11,8,3380,0.47631243500000003
p12,12,657,4.137469810000001
p13,11,3220,6.16157603
p14,8,3157,2.342826672
p15,12,341,10.999908942000001
p16,13,2343,8.138407464
p17,14,3281,7.921838972000001
p18,11,3228,4.120336058
p19,8,3710,3.434086536
p20,18,1830,20.922873318
p21,14,3660,18.188423061
p22,18,1912,7.974935816
p23,29,3770,50.747508672
p24,10,661,8.791780205
p25,10,504,3.8012426870000002
p26,13,520,20.373570336
p27,4,216,1.06021062
p28,26,1729,62.605048625
p29,19,3470,105.53012648900001
p30,9,4891,15.57625812
