Name,Number of Solutions,Score,Time (Seconds)
p06,3,565,0.30662598500000005
p07,5,3771,0.513457519
p08,6,4049,2.241889918
p09,7,3388,1.719064455
p10,6,3983,0.17035755900000002
p11,4,3380,0.318504381
p12,13,657,4.044905882
p13,10,3220,3.9463177770000004
p14,10,3157,2.693850436
p15,10,341,17.49128349
p16,13,2343,11.284552159
p17,16,3281,9.097978107000001
p18,9,3228,2.908611238
p19,15,3710,5.583711908000001
p20,23,1830,20.827907290000002
p21,12,3660,16.065590209
p22,13,1912,6.372593244000001
p23,12,3770,38.367580520000004
p24,9,661,23.859632988
p25,6,504,4.470737348
p26,9,520,70.773129059
p27,3,216,1.0638986320000001
p28,24,1729,68.469291431
p29,12,3470,71.623846556
p30,16,4891,44.68667812
